Source,SS,DF,MS,F,p-unc,ng2,sphericity,W-spher,p-spher
condition,0.0,3,0.0,-0.0,1.0,0.0,True,inf,1.0
Error,-8.881784197001252e-16,441,-2.014010021995749e-18,,,,,,
